HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Gender,Answer.age,Answer.reasons,Answer.timesSeenDr,Answer.yourGender,Approve,Reject
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,38JBBYETQPW32RE4BHBYR8K6EX04EH,AGWHBRX2T3665,Submitted,Fri Aug 03 16:04:36 PDT 2018,Fri Aug 03 16:05:31 PDT 2018,Mon Aug 06 16:05:31 PDT 2018,,,,55,0% (0/0),0% (0/0),0% (0/0),Male,33,"Don't want to undress in front of female, males historically have had more experience in medical profession. They may know more.",1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3TGOYF991Y8J8L55GNHL8U43ZYHUUA,A1Y9VA9FKJLS5K,Submitted,Fri Aug 03 16:04:49 PDT 2018,Fri Aug 03 16:05:38 PDT 2018,Mon Aug 06 16:05:38 PDT 2018,,,,49,0% (0/0),0% (0/0),0% (0/0),Female,31,I think another male would understand my health issues more than a woman.,1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3TOK3KHVJU4MX59C7TC1ZWYU91W7O8,A1QXYROUID6JGZ,Submitted,Fri Aug 03 16:04:48 PDT 2018,Fri Aug 03 16:05:38 PDT 2018,Mon Aug 06 16:05:38 PDT 2018,,,,50,0% (0/0),0% (0/0),0% (0/0),Either,29,I'm fine with either. There are more important qualifications such as good bedside manner and good communication skills. I have had both female and male doctors and I feel comfortable with either.,11 or more,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,31EUONYN2WPO8VA8PRFH5AEXVJ2VON,A14XECI3XLI39H,Submitted,Fri Aug 03 16:04:56 PDT 2018,Fri Aug 03 16:05:41 PDT 2018,Mon Aug 06 16:05:41 PDT 2018,,,,45,0% (0/0),0% (0/0),0% (0/0),Male,29,"I am more comfortable in a male because being a male, I believe that men can relate to the problems that I would go through instead of woman and know more about it.",1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3WJ1OXY92B21VFKU7FZPC1AKV4Y8AX,A38S1M9I6HIBJG,Submitted,Fri Aug 03 16:04:53 PDT 2018,Fri Aug 03 16:05:41 PDT 2018,Mon Aug 06 16:05:41 PDT 2018,,,,48,0% (0/0),0% (0/0),0% (0/0),Male,43,Since I am also male I prefer to discuss sensitive issues with a male.,1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3EICBYG645IE8BDBIXS77M9MBIDCJN,A1GRPIBHW72HDU,Submitted,Fri Aug 03 16:04:40 PDT 2018,Fri Aug 03 16:05:48 PDT 2018,Mon Aug 06 16:05:48 PDT 2018,,,,68,0% (0/0),0% (0/0),0% (0/0),Male,29,I prefer to have a doctor that is the same gender as me because I feel like they can relate and understand my body better. I also would feel more comfortable discussing certain topics with a doctor of the same gender as me.,6-10,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3R8YZBNQ9I4PIHMSM645O1TUO2DQ7Y,A2ZQCHONMAJZF,Submitted,Fri Aug 03 16:04:39 PDT 2018,Fri Aug 03 16:05:51 PDT 2018,Mon Aug 06 16:05:51 PDT 2018,,,,72,0% (0/0),0% (0/0),0% (0/0),Either,33,"So long ass they are a competant physician and they're able to provide the care I want, I'm fine with either Female or Male primary care physician.",11 or more,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3SBEHTYCWOPVG3UAW7PWSCM51R6IYP,A35P2RX8HKZM96,Submitted,Fri Aug 03 16:05:07 PDT 2018,Fri Aug 03 16:05:54 PDT 2018,Mon Aug 06 16:05:54 PDT 2018,,,,47,0% (0/0),0% (0/0),0% (0/0),Either,34,"I don't mind if it's primary care. If it's a gynecologist, I prefer female.",1-5,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3K2755HG5TP881XTZ3WXCUZC3B8FDN,A9ZCY6FLUCIU1,Submitted,Fri Aug 03 16:04:43 PDT 2018,Fri Aug 03 16:05:58 PDT 2018,Mon Aug 06 16:05:58 PDT 2018,,,,75,100% (1/1),100% (1/1),0% (0/0),Female,45,more comfortable with women practitioners in general..haven't been able to relate to men as doctors,11 or more,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3AUQQEL7U6F35EIPN6D6F9IFXGN0V3,A1940HXCOGYQ33,Submitted,Fri Aug 03 16:04:56 PDT 2018,Fri Aug 03 16:06:05 PDT 2018,Mon Aug 06 16:06:05 PDT 2018,,,,69,0% (0/0),0% (0/0),0% (0/0),Either,29,When I was younger I felt more comfortable with a male physician but as I got older it really does't matter anymore,6-10,Male,,
